index,_,lat,lon,ADM1_EN,ADM2_EN
0,52412,24.050000000000153,123.76000000000022, Okinawa,Taketomi-cho
1,55323,24.275000000000162,123.81500000000023, Okinawa,Taketomi-cho
2,55324,24.275000000000162,123.87000000000023, Okinawa,Taketomi-cho
3,55904,24.320000000000164,123.76000000000022, Okinawa,Taketomi-cho
4,55905,24.320000000000164,123.81500000000023, Okinawa,Taketomi-cho
5,55906,24.320000000000164,123.87000000000023, Okinawa,Taketomi-cho
6,55907,24.320000000000164,123.92500000000024, Okinawa,Taketomi-cho
7,55910,24.320000000000164,124.09000000000026, Okinawa,Taketomi-cho
8,56486,24.365000000000165,123.76000000000022, Okinawa,Taketomi-cho
9,56487,24.365000000000165,123.81500000000023, Okinawa,Taketomi-cho
10,56488,24.365000000000165,123.87000000000023, Okinawa,Taketomi-cho
11,56489,24.365000000000165,123.92500000000024, Okinawa,Taketomi-cho
12,57068,24.410000000000167,123.76000000000022, Okinawa,Taketomi-cho
13,55062,24.23000000000016,141.47000000000241, Tokyo,Ogasawara-mura
14,62043,24.77000000000018,141.3050000000024, Tokyo,Ogasawara-mura
15,87084,26.705000000000254,142.1300000000025, Tokyo,Ogasawara-mura
16,92905,27.15500000000027,142.1850000000025, Tokyo,Ogasawara-mura
17,55911,24.320000000000164,124.14500000000027, Okinawa,Ishigaki City
18,56493,24.365000000000165,124.14500000000027, Okinawa,Ishigaki City
19,56494,24.365000000000165,124.20000000000027, Okinawa,Ishigaki City
20,57075,24.410000000000167,124.14500000000027, Okinawa,Ishigaki City
21,57076,24.410000000000167,124.20000000000027, Okinawa,Ishigaki City
22,57077,24.410000000000167,124.25500000000028, Okinawa,Ishigaki City
23,57658,24.45500000000017,124.20000000000027, Okinawa,Ishigaki City
24,58241,24.50000000000017,124.25500000000028, Okinawa,Ishigaki City
25,59406,24.590000000000174,124.31000000000029, Okinawa,Ishigaki City
26,57636,24.45500000000017,122.99000000000012, Okinawa,Yonaguni-cho
27,61169,24.72500000000018,125.2450000000004, Okinawa,Miyakojima City
28,61170,24.72500000000018,125.30000000000041, Okinawa,Miyakojima City
29,61171,24.72500000000018,125.35500000000042, Okinawa,Miyakojima City
30,61752,24.77000000000018,125.30000000000041, Okinawa,Miyakojima City
