index,_,lat,lon,ADM1_EN,ADM2_EN
0,13111,24.049999999999994,123.75999999999999, Okinawa,Taketomi-cho
1,13984,24.319999999999993,123.75999999999999, Okinawa,Taketomi-cho
2,13985,24.319999999999993,123.86999999999999, Okinawa,Taketomi-cho
3,13987,24.319999999999993,124.08999999999999, Okinawa,Taketomi-cho
4,14275,24.409999999999993,123.75999999999999, Okinawa,Taketomi-cho
5,13854,24.229999999999993,141.4699999999999, Tokyo,Ogasawara-mura
6,14279,24.409999999999993,124.19999999999999, Okinawa,Ishigaki City
7,14862,24.589999999999993,124.30999999999999, Okinawa,Ishigaki City
8,15453,24.769999999999992,125.29999999999998, Okinawa,Miyakojima City
9,15744,24.859999999999992,125.29999999999998, Okinawa,Miyakojima City
10,18999,25.84999999999999,131.23999999999995, Okinawa,Minamidaito-son
11,19840,26.11999999999999,127.71999999999997, Okinawa,Yaese-cho
12,20127,26.20999999999999,127.27999999999997, Okinawa,Zamami-son
13,20131,26.20999999999999,127.71999999999997, Okinawa,Naha City
14,20132,26.20999999999999,127.82999999999997, Okinawa,Nakagusuku-son
15,20133,26.20999999999999,127.93999999999997, Okinawa,Nakagusuku-son
16,20423,26.29999999999999,127.82999999999997, Okinawa,Kitanakagusuku-mura
17,20424,26.29999999999999,127.93999999999997, Okinawa,Uruma City
18,20714,26.38999999999999,127.82999999999997, Okinawa,Uruma City
19,20715,26.38999999999999,127.93999999999997, Okinawa,Uruma City
20,21006,26.47999999999999,127.93999999999997, Okinawa,Ginoza-son
21,21298,26.56999999999999,128.04999999999995, Okinawa,Nago City
22,21588,26.65999999999999,127.93999999999997, Okinawa,Motobu-cho
23,21590,26.65999999999999,128.15999999999997, Okinawa,Ogimi-son
24,21882,26.74999999999999,128.26999999999998, Okinawa,Kunigami-son
25,22173,26.83999999999999,128.26999999999998, Okinawa,Kunigami-son
26,22461,26.92999999999999,127.93999999999997, Okinawa,Izena-son
27,22752,27.01999999999999,127.93999999999997, Okinawa,Iheya-son
28,23922,27.37999999999999,128.59999999999997, Kagoshima,China-cho
29,25089,27.739999999999988,128.92999999999995, Kagoshima,Isen-cho
30,25380,27.829999999999988,128.92999999999995, Kagoshima,Tokunoshima-cho
31,25965,28.009999999999987,129.25999999999996, Kagoshima,Setouchi-cho
32,26548,28.189999999999987,129.36999999999995, Kagoshima,Setouchi-cho
33,26838,28.279999999999987,129.25999999999996, Kagoshima,Uken-son
34,26839,28.279999999999987,129.36999999999995, Kagoshima,Amami City
35,27131,28.369999999999987,129.47999999999996, Kagoshima,Amami City
36,27424,28.459999999999987,129.69999999999996, Kagoshima,Amami City
37,27132,28.369999999999987,129.58999999999997, Kagoshima,Tatsugo-cho
38,27423,28.459999999999987,129.58999999999997, Kagoshima,Tatsugo-cho
39,27136,28.369999999999987,130.02999999999997, Kagoshima,Kikai-cho
40,31207,29.629999999999985,129.69999999999996, Kagoshima,Toshima-mura
41,32373,29.989999999999984,129.91999999999996, Kagoshima,Toshima-mura
42,33251,30.259999999999984,130.46999999999997, Kagoshima,Yakushima-cho
43,33252,30.259999999999984,130.57999999999996, Kagoshima,Yakushima-cho
44,33542,30.349999999999984,130.46999999999997, Kagoshima,Yakushima-cho
45,33543,30.349999999999984,130.57999999999996, Kagoshima,Yakushima-cho
46,33831,30.439999999999984,130.24999999999994, Kagoshima,Yakushima-cho
47,33833,30.439999999999984,130.46999999999997, Kagoshima,Yakushima-cho
48,33837,30.439999999999984,130.90999999999997, Kagoshima,Minatane-cho
49,34420,30.619999999999983,131.01999999999995, Kagoshima,Nishinoomote City
50,34711,30.709999999999983,131.01999999999995, Kagoshima,Nishinoomote City
51,35002,30.799999999999983,131.01999999999995, Kagoshima,Nishinoomote City
52,35872,31.069999999999983,130.68999999999994, Kagoshima,Minamiosumi-cho
53,36164,31.159999999999982,130.79999999999995, Kagoshima,Minamiosumi-cho
54,36165,31.159999999999982,130.90999999999997, Kagoshima,Kinko-cho
55,36455,31.249999999999982,130.79999999999995, Kagoshima,Kinko-cho
56,36452,31.249999999999982,130.46999999999997, Kagoshima,Minamikyushu City
57,36742,31.339999999999982,130.35999999999996, Kagoshima,Minamikyushu City
58,36743,31.339999999999982,130.46999999999997, Kagoshima,Minamikyushu City
59,37034,31.429999999999982,130.46999999999997, Kagoshima,Minamikyushu City
60,36453,31.249999999999982,130.57999999999996, Kagoshima,Ibusuki City
61,36456,31.249999999999982,130.90999999999997, Kagoshima,Kanoya City
62,36747,31.339999999999982,130.90999999999997, Kagoshima,Kanoya City
63,37037,31.429999999999982,130.79999999999995, Kagoshima,Kanoya City
64,37038,31.429999999999982,130.90999999999997, Kagoshima,Kanoya City
65,37329,31.519999999999982,130.90999999999997, Kagoshima,Kanoya City
66,36457,31.249999999999982,131.01999999999995, Kagoshima,Kimotsuki-cho
67,36748,31.339999999999982,131.01999999999995, Kagoshima,Kimotsuki-cho
68,36741,31.339999999999982,130.24999999999994, Kagoshima,Minamisatsuma City
69,37033,31.429999999999982,130.35999999999996, Kagoshima,Minamisatsuma City
70,37039,31.429999999999982,131.01999999999995, Kagoshima,Osaki-cho
71,37041,31.429999999999982,131.23999999999995, Miyazaki,Kushima City
72,37042,31.429999999999982,131.34999999999997, Miyazaki,Kushima City
73,37332,31.519999999999982,131.23999999999995, Miyazaki,Kushima City
74,37623,31.60999999999998,131.23999999999995, Miyazaki,Kushima City
75,37324,31.519999999999982,130.35999999999996, Kagoshima,Hioki City
76,37615,31.60999999999998,130.35999999999996, Kagoshima,Hioki City
77,37906,31.69999999999998,130.35999999999996, Kagoshima,Hioki City
78,37325,31.519999999999982,130.46999999999997, Kagoshima,Kagoshima City
79,37616,31.60999999999998,130.46999999999997, Kagoshima,Kagoshima City
80,37618,31.60999999999998,130.68999999999994, Kagoshima,Kagoshima City
81,37907,31.69999999999998,130.46999999999997, Kagoshima,Kagoshima City
82,37328,31.519999999999982,130.79999999999995, Kagoshima,Tarumizu City
83,37619,31.60999999999998,130.79999999999995, Kagoshima,Tarumizu City
84,37330,31.519999999999982,131.01999999999995, Kagoshima,Shibushi City
85,37331,31.519999999999982,131.12999999999994, Kagoshima,Shibushi City
86,37333,31.519999999999982,131.34999999999997, Miyazaki,Nichinan City
87,37624,31.60999999999998,131.34999999999997, Miyazaki,Nichinan City
88,37914,31.69999999999998,131.23999999999995, Miyazaki,Nichinan City
89,37915,31.69999999999998,131.34999999999997, Miyazaki,Nichinan City
90,37620,31.60999999999998,130.90999999999997, Kagoshima,Soo City
91,37621,31.60999999999998,131.01999999999995, Kagoshima,Soo City
92,37622,31.60999999999998,131.12999999999994, Kagoshima,Soo City
93,37911,31.69999999999998,130.90999999999997, Kagoshima,Soo City
94,37912,31.69999999999998,131.01999999999995, Kagoshima,Soo City
95,38202,31.78999999999998,130.90999999999997, Kagoshima,Soo City
96,37900,31.69999999999998,129.69999999999996, Kagoshima,Satsumasendai City
97,38196,31.78999999999998,130.24999999999994, Kagoshima,Satsumasendai City
98,38197,31.78999999999998,130.35999999999996, Kagoshima,Satsumasendai City
99,38198,31.78999999999998,130.46999999999997, Kagoshima,Satsumasendai City
100,38487,31.87999999999998,130.24999999999994, Kagoshima,Satsumasendai City
101,38488,31.87999999999998,130.35999999999996, Kagoshima,Satsumasendai City
102,38490,31.87999999999998,130.57999999999996, Kagoshima,Satsumasendai City
103,37908,31.69999999999998,130.57999999999996, Kagoshima,Aira City
104,38199,31.78999999999998,130.57999999999996, Kagoshima,Aira City
105,38200,31.78999999999998,130.68999999999994, Kagoshima,Aira City
106,37910,31.69999999999998,130.79999999999995, Kagoshima,Kirishima City
107,38201,31.78999999999998,130.79999999999995, Kagoshima,Kirishima City
108,38491,31.87999999999998,130.68999999999994, Kagoshima,Kirishima City
109,38492,31.87999999999998,130.79999999999995, Kagoshima,Kirishima City
110,37913,31.69999999999998,131.12999999999994, Miyazaki,Mimata-cho
111,38203,31.78999999999998,131.01999999999995, Miyazaki,Miyakonojo City
112,38204,31.78999999999998,131.12999999999994, Miyazaki,Miyakonojo City
113,38493,31.87999999999998,130.90999999999997, Miyazaki,Miyakonojo City
114,38494,31.87999999999998,131.01999999999995, Miyazaki,Miyakonojo City
115,38495,31.87999999999998,131.12999999999994, Miyazaki,Miyakonojo City
116,38205,31.78999999999998,131.23999999999995, Miyazaki,Miyazaki City
117,38206,31.78999999999998,131.34999999999997, Miyazaki,Miyazaki City
118,38207,31.78999999999998,131.45999999999995, Miyazaki,Miyazaki City
119,38496,31.87999999999998,131.23999999999995, Miyazaki,Miyazaki City
120,38497,31.87999999999998,131.34999999999997, Miyazaki,Miyazaki City
121,38498,31.87999999999998,131.45999999999995, Miyazaki,Miyazaki City
122,38787,31.96999999999998,131.23999999999995, Miyazaki,Miyazaki City
123,38788,31.96999999999998,131.34999999999997, Miyazaki,Miyazaki City
124,38789,31.96999999999998,131.45999999999995, Miyazaki,Miyazaki City
125,38489,31.87999999999998,130.46999999999997, Kagoshima,Satsuma-cho
126,38779,31.96999999999998,130.35999999999996, Kagoshima,Satsuma-cho
127,38780,31.96999999999998,130.46999999999997, Kagoshima,Satsuma-cho
128,38778,31.96999999999998,130.24999999999994, Kagoshima,Akune City
129,38781,31.96999999999998,130.57999999999996, Kagoshima,Isa City
130,39072,32.05999999999998,130.57999999999996, Kagoshima,Isa City
131,39073,32.05999999999998,130.68999999999994, Kagoshima,Isa City
132,39363,32.14999999999998,130.57999999999996, Kagoshima,Isa City
133,38782,31.96999999999998,130.68999999999994, Kagoshima,Yusui-cho
134,38783,31.96999999999998,130.79999999999995, Miyazaki,Ebino City
135,39074,32.05999999999998,130.79999999999995, Miyazaki,Ebino City
136,39075,32.05999999999998,130.90999999999997, Miyazaki,Ebino City
137,38784,31.96999999999998,130.90999999999997, Miyazaki,Kobayashi City
138,38785,31.96999999999998,131.01999999999995, Miyazaki,Kobayashi City
139,38786,31.96999999999998,131.12999999999994, Miyazaki,Kobayashi City
140,39076,32.05999999999998,131.01999999999995, Miyazaki,Kobayashi City
141,39077,32.05999999999998,131.12999999999994, Miyazaki,Kobayashi City
142,39367,32.14999999999998,131.01999999999995, Miyazaki,Kobayashi City
143,39069,32.05999999999998,130.24999999999994, Kagoshima,Izumi City
144,39070,32.05999999999998,130.35999999999996, Kagoshima,Izumi City
145,39071,32.05999999999998,130.46999999999997, Kagoshima,Izumi City
146,39078,32.05999999999998,131.23999999999995, Miyazaki,Kunitomi-cho
147,39079,32.05999999999998,131.34999999999997, Miyazaki,Saito City
148,39369,32.14999999999998,131.23999999999995, Miyazaki,Saito City
149,39370,32.14999999999998,131.34999999999997, Miyazaki,Saito City
150,39660,32.23999999999998,131.23999999999995, Miyazaki,Saito City
151,39661,32.23999999999998,131.34999999999997, Miyazaki,Saito City
152,39080,32.05999999999998,131.45999999999995, Miyazaki,Shintomi-cho
153,39359,32.14999999999998,130.13999999999996, Kagoshima,Nagashima-cho
154,39362,32.14999999999998,130.46999999999997, Kumamoto,Minamata City
155,39364,32.14999999999998,130.68999999999994, Kumamoto,Hitoyoshi City
156,39365,32.14999999999998,130.79999999999995, Kumamoto,Hitoyoshi City
157,39366,32.14999999999998,130.90999999999997, Kumamoto,Asagiri-cho
158,39657,32.23999999999998,130.90999999999997, Kumamoto,Asagiri-cho
159,39368,32.14999999999998,131.12999999999994, Miyazaki,Nishimera-son
160,39659,32.23999999999998,131.12999999999994, Miyazaki,Nishimera-son
161,39371,32.14999999999998,131.45999999999995, Miyazaki,Kijo-cho
162,39952,32.329999999999984,131.34999999999997, Miyazaki,Kijo-cho
163,39649,32.23999999999998,130.02999999999997, Kumamoto,Amakusa City
164,39940,32.329999999999984,130.02999999999997, Kumamoto,Amakusa City
165,39941,32.329999999999984,130.13999999999996, Kumamoto,Amakusa City
166,39943,32.329999999999984,130.35999999999996, Kumamoto,Amakusa City
167,40231,32.41999999999998,130.02999999999997, Kumamoto,Amakusa City
168,40232,32.41999999999998,130.13999999999996, Kumamoto,Amakusa City
169,40233,32.41999999999998,130.24999999999994, Kumamoto,Amakusa City
170,40234,32.41999999999998,130.35999999999996, Kumamoto,Amakusa City
171,40523,32.50999999999998,130.13999999999996, Kumamoto,Amakusa City
172,40525,32.50999999999998,130.35999999999996, Kumamoto,Amakusa City
173,39653,32.23999999999998,130.46999999999997, Kumamoto,Tsunagi-machi
174,39654,32.23999999999998,130.57999999999996, Kumamoto,Ashikita-machi
175,39945,32.329999999999984,130.57999999999996, Kumamoto,Ashikita-machi
176,39655,32.23999999999998,130.68999999999994, Kumamoto,Kuma-mura
177,39946,32.329999999999984,130.68999999999994, Kumamoto,Kuma-mura
178,39656,32.23999999999998,130.79999999999995, Kumamoto,Sagara-mura
179,39947,32.329999999999984,130.79999999999995, Kumamoto,Sagara-mura
180,39658,32.23999999999998,131.01999999999995, Kumamoto,Yunomae-machi
181,39662,32.23999999999998,131.45999999999995, Miyazaki,Kawaminami-cho
182,39663,32.23999999999998,131.56999999999994, Miyazaki,Tono-cho
183,39948,32.329999999999984,130.90999999999997, Kumamoto,Taragi-machi
184,39949,32.329999999999984,131.01999999999995, Kumamoto,Minakami-mura
185,40240,32.41999999999998,131.01999999999995, Kumamoto,Minakami-mura
186,39950,32.329999999999984,131.12999999999994, Miyazaki,Shiiba-son
187,40241,32.41999999999998,131.12999999999994, Miyazaki,Shiiba-son
188,40242,32.41999999999998,131.23999999999995, Miyazaki,Shiiba-son
189,40531,32.50999999999998,131.01999999999995, Miyazaki,Shiiba-son
190,40532,32.50999999999998,131.12999999999994, Miyazaki,Shiiba-son
191,40533,32.50999999999998,131.23999999999995, Miyazaki,Shiiba-son
192,39951,32.329999999999984,131.23999999999995, Miyazaki,Misato-cho
193,40243,32.41999999999998,131.34999999999997, Miyazaki,Misato-cho
194,40244,32.41999999999998,131.45999999999995, Miyazaki,Misato-cho
195,40535,32.50999999999998,131.45999999999995, Miyazaki,Misato-cho
196,39953,32.329999999999984,131.45999999999995, Miyazaki,Hyuga City
197,39954,32.329999999999984,131.56999999999994, Miyazaki,Hyuga City
198,40245,32.41999999999998,131.56999999999994, Miyazaki,Hyuga City
199,40246,32.41999999999998,131.67999999999995, Miyazaki,Hyuga City
200,40236,32.41999999999998,130.57999999999996, Kumamoto,Yatsushiro City
