index,lat,lon,ADM1_EN,ADM2_EN
0,26.120000000000232,127.6650000000007, Okinawa,Itoman City
1,26.120000000000232,127.72000000000072, Okinawa,Yaese-cho
2,26.165000000000237,127.72000000000072, Okinawa,Yaese-cho
3,26.165000000000237,127.6650000000007, Okinawa,Tomigusuku City
4,26.165000000000237,127.77500000000072, Okinawa,Nanjo City
5,26.165000000000237,127.88500000000072, Okinawa,Nanjo City
6,26.210000000000235,127.6650000000007, Okinawa,Naha City
7,26.210000000000235,127.72000000000072, Okinawa,Naha City
8,26.210000000000235,127.77500000000072, Okinawa,Nishihara-cho
9,26.210000000000235,127.83000000000072, Okinawa,Nakagusuku-son
10,26.210000000000235,127.88500000000072, Okinawa,Nakagusuku-son
11,26.210000000000235,127.94000000000074, Okinawa,Nakagusuku-son
12,26.25500000000024,127.77500000000072, Okinawa,Nakagusuku-son
13,26.25500000000024,127.83000000000072, Okinawa,Nakagusuku-son
14,26.25500000000024,127.88500000000072, Okinawa,Nakagusuku-son
15,26.25500000000024,127.6650000000007, Okinawa,Urasoe City
16,26.25500000000024,127.72000000000072, Okinawa,Urasoe City
17,26.25500000000024,127.94000000000074, Okinawa,Uruma City
18,26.30000000000024,127.88500000000072, Okinawa,Uruma City
19,26.30000000000024,127.94000000000074, Okinawa,Uruma City
20,26.34500000000024,127.88500000000072, Okinawa,Uruma City
21,26.34500000000024,127.94000000000074, Okinawa,Uruma City
22,26.34500000000024,127.99500000000074, Okinawa,Uruma City
23,26.39000000000024,127.83000000000072, Okinawa,Uruma City
24,26.39000000000024,127.88500000000072, Okinawa,Uruma City
25,26.39000000000024,127.94000000000074, Okinawa,Uruma City
26,26.39000000000024,127.99500000000074, Okinawa,Uruma City
27,26.435000000000244,127.83000000000072, Okinawa,Uruma City
28,26.30000000000024,127.77500000000072, Okinawa,Chatan-cho
29,26.30000000000024,127.83000000000072, Okinawa,Kitanakagusuku-mura
30,26.34500000000024,127.77500000000072, Okinawa,Kadena-cho
31,26.39000000000024,127.77500000000072, Okinawa,Kadena-cho
32,26.34500000000024,127.83000000000072, Okinawa,Okinawa City
33,26.435000000000244,127.72000000000072, Okinawa,Yomitan-son
34,26.435000000000244,127.77500000000072, Okinawa,Onna-son
35,26.48000000000025,127.88500000000072, Okinawa,Onna-son
36,26.435000000000244,127.88500000000072, Okinawa,Kin-cho
37,26.435000000000244,127.94000000000074, Okinawa,Kin-cho
38,26.48000000000025,127.94000000000074, Okinawa,Ginoza-son
39,26.525000000000247,127.94000000000074, Okinawa,Nago City
40,26.525000000000247,127.99500000000074, Okinawa,Nago City
41,31.205000000000425,130.8000000000011, Kagoshima,Minamiosumi-cho
42,31.295000000000428,130.9650000000011, Kagoshima,Kimotsuki-cho
43,31.34000000000043,130.9650000000011, Kagoshima,Kimotsuki-cho
44,31.34000000000043,131.02000000000112, Kagoshima,Kimotsuki-cho
45,31.250000000000423,130.8000000000011, Kagoshima,Kinko-cho
46,31.295000000000428,130.8000000000011, Kagoshima,Kinko-cho
47,31.295000000000428,130.8550000000011, Kagoshima,Kinko-cho
48,31.295000000000428,130.9100000000011, Kagoshima,Kanoya City
49,31.34000000000043,130.8550000000011, Kagoshima,Kanoya City
50,31.34000000000043,130.9100000000011, Kagoshima,Kanoya City
51,31.38500000000043,130.8550000000011, Kagoshima,Kanoya City
52,31.38500000000043,130.9100000000011, Kagoshima,Kanoya City
53,31.430000000000437,130.9100000000011, Kagoshima,Kanoya City
54,31.38500000000043,130.9650000000011, Kagoshima,Higashikushira-cho
55,31.430000000000437,130.9650000000011, Kagoshima,Osaki-cho
56,31.430000000000437,131.02000000000112, Kagoshima,Osaki-cho
57,31.475000000000435,130.9650000000011, Kagoshima,Shibushi City
58,31.475000000000435,131.02000000000112, Kagoshima,Shibushi City
59,31.475000000000435,131.07500000000113, Kagoshima,Shibushi City
60,31.34000000000043,130.36000000000104, Kagoshima,Minamikyushu City
61,31.38500000000043,130.36000000000104, Kagoshima,Minamikyushu City
62,31.38500000000043,130.41500000000104, Kagoshima,Minamikyushu City
63,31.430000000000437,130.41500000000104, Kagoshima,Minamikyushu City
64,31.38500000000043,130.25000000000102, Kagoshima,Minamisatsuma City
65,31.430000000000437,130.30500000000103, Kagoshima,Minamisatsuma City
66,31.430000000000437,130.36000000000104, Kagoshima,Minamisatsuma City
67,31.475000000000435,130.36000000000104, Kagoshima,Minamisatsuma City
68,31.52000000000044,130.36000000000104, Kagoshima,Hioki City
69,31.295000000000428,130.25000000000102, Kagoshima,Minamisatsuma City
70,31.295000000000428,130.30500000000103, Kagoshima,Makurazaki City
71,31.475000000000435,130.47000000000105, Kagoshima,Kagoshima City
72,31.475000000000435,130.52500000000106, Kagoshima,Kagoshima City
73,31.52000000000044,130.47000000000105, Kagoshima,Kagoshima City
74,31.52000000000044,130.52500000000106, Kagoshima,Kagoshima City
75,31.56500000000044,130.47000000000105, Kagoshima,Kagoshima City
76,31.56500000000044,130.52500000000106, Kagoshima,Kagoshima City
77,31.56500000000044,130.58000000000106, Kagoshima,Kagoshima City
78,31.61000000000044,130.52500000000106, Kagoshima,Kagoshima City
79,31.65500000000044,130.52500000000106, Kagoshima,Kagoshima City
80,31.65500000000044,130.58000000000106, Kagoshima,Kagoshima City
81,31.700000000000443,130.8000000000011, Kagoshima,Kirishima City
82,31.745000000000445,130.69000000000108, Kagoshima,Kirishima City
83,31.745000000000445,130.74500000000108, Kagoshima,Kirishima City
84,31.745000000000445,130.8000000000011, Kagoshima,Kirishima City
