index,_,lat,lon,ADM1_EN,ADM2_EN
0,3440,24.319999999999993,123.79999999999995, Okinawa,Taketomi-cho
1,3585,24.499999999999993,124.24999999999994, Okinawa,Ishigaki City
2,5031,26.29999999999999,127.84999999999985, Okinawa,Okinawa City
3,5174,26.47999999999999,127.84999999999985, Okinawa,Onna-son
4,5462,26.83999999999999,128.29999999999984, Okinawa,Kunigami-son
5,5892,27.37999999999999,128.52499999999984, Kagoshima,China-cho
6,6180,27.739999999999988,128.97499999999982, Kagoshima,Tokunoshima-cho
7,6611,28.279999999999987,129.4249999999998, Kagoshima,Amami City
8,8189,30.259999999999984,130.54999999999978, Kagoshima,Yakushima-cho
9,8332,30.439999999999984,130.54999999999978, Kagoshima,Yakushima-cho
10,8477,30.619999999999983,130.99999999999977, Kagoshima,Nishinoomote City
11,8905,31.159999999999982,130.77499999999978, Kagoshima,Minamiosumi-cho
12,9046,31.339999999999982,130.3249999999998, Kagoshima,Minamikyushu City
13,9047,31.339999999999982,130.54999999999978, Kagoshima,Kagoshima City
14,9190,31.519999999999982,130.54999999999978, Kagoshima,Kagoshima City
15,9333,31.69999999999998,130.54999999999978, Kagoshima,Kagoshima City
16,9049,31.339999999999982,130.99999999999977, Kagoshima,Kimotsuki-cho
17,9189,31.519999999999982,130.3249999999998, Kagoshima,Hioki City
18,9191,31.519999999999982,130.77499999999978, Kagoshima,Tarumizu City
19,9192,31.519999999999982,130.99999999999977, Kagoshima,Shibushi City
20,9193,31.519999999999982,131.22499999999977, Miyazaki,Kushima City
21,9332,31.69999999999998,130.3249999999998, Kagoshima,Ichikikushikino City
22,9335,31.69999999999998,130.99999999999977, Kagoshima,Soo City
23,9336,31.69999999999998,131.22499999999977, Miyazaki,Nichinan City
24,9337,31.69999999999998,131.44999999999976, Miyazaki,Nichinan City
25,9475,31.87999999999998,130.3249999999998, Kagoshima,Satsumasendai City
26,9476,31.87999999999998,130.54999999999978, Kagoshima,Satsumasendai City
27,9477,31.87999999999998,130.77499999999978, Kagoshima,Kirishima City
28,9478,31.87999999999998,130.99999999999977, Miyazaki,Miyakonojo City
29,9479,31.87999999999998,131.22499999999977, Miyazaki,Miyakonojo City
30,9480,31.87999999999998,131.44999999999976, Miyazaki,Miyazaki City
31,9618,32.05999999999998,130.3249999999998, Kagoshima,Izumi City
32,9619,32.05999999999998,130.54999999999978, Kagoshima,Isa City
33,9620,32.05999999999998,130.77499999999978, Miyazaki,Ebino City
34,9621,32.05999999999998,130.99999999999977, Miyazaki,Kobayashi City
35,9622,32.05999999999998,131.22499999999977, Miyazaki,Kunitomi-cho
36,9623,32.05999999999998,131.44999999999976, Miyazaki,Shintomi-cho
37,9760,32.23999999999998,130.0999999999998, Kumamoto,Amakusa City
38,9903,32.41999999999998,130.0999999999998, Kumamoto,Amakusa City
39,9904,32.41999999999998,130.3249999999998, Kumamoto,Amakusa City
40,9762,32.23999999999998,130.54999999999978, Kumamoto,Ashikita-machi
41,9763,32.23999999999998,130.77499999999978, Kumamoto,Yamae-mura
42,9764,32.23999999999998,130.99999999999977, Kumamoto,Taragi-machi
43,9765,32.23999999999998,131.22499999999977, Miyazaki,Nishimera-son
44,9766,32.23999999999998,131.44999999999976, Miyazaki,Kawaminami-cho
45,9905,32.41999999999998,130.54999999999978, Kumamoto,Yatsushiro City
46,9906,32.41999999999998,130.77499999999978, Kumamoto,Itsuki-mura
47,9907,32.41999999999998,130.99999999999977, Kumamoto,Minakami-mura
48,9908,32.41999999999998,131.22499999999977, Miyazaki,Shiiba-son
49,9909,32.41999999999998,131.44999999999976, Miyazaki,Misato-cho
