lat,lng,pref,city
35.080688,136.555087,三重県,いなべ市
35.015378,136.661425,三重県,三重郡川越町
35.02830841,136.6720736,三重県,三重郡朝日町
35.0012,136.5367333,三重県,三重郡菰野町
34.84039,136.47685,三重県,亀山市
34.437174,136.647428,三重県,伊勢市
34.6606119,136.1652407,三重県,伊賀市
34.10593483,136.2210553,三重県,北牟婁郡紀北町
33.77966667,136.0323333,三重県,南牟婁郡御浜町
33.73553333,136.0082667,三重県,南牟婁郡紀宝町
34.596841,136.062242,三重県,名張市
35.05313333,136.5797333,三重県,員弁郡東員町
34.90412,136.636596,三重県,四日市市
34.4782,136.5418,三重県,多気郡多気町
34.390429,136.399329,三重県,多気郡大台町
34.51779,136.63316,三重県,多気郡明和町
34.05173333,136.1957333,三重県,尾鷲市
34.276244,136.500755,三重県,度会郡南伊勢町
34.22466667,136.3940667,三重県,度会郡大紀町
34.43706667,136.628,三重県,度会郡度会町
34.47566667,136.6191333,三重県,度会郡玉城町
34.2548272,136.8249359,三重県,志摩市
34.44633333,136.3773333,三重県,松阪市
35.02889588,136.7260092,三重県,桑名市
35.0656176,136.7476029,三重県,桑名郡木曽岬町
34.5136623,136.2436039,三重県,津市
33.8518,136.0697333,三重県,熊野市
34.81233333,136.5416,三重県,鈴鹿市
34.4422,136.8427333,三重県,鳥羽市
35.5035388,135.0943604,京都府,与謝郡与謝野町
35.710423,135.272091,京都府,与謝郡伊根町
34.87334,135.75837,京都府,久世郡久御山町
34.90025,135.689645,京都府,乙訓郡大山崎町
34.9912503,135.5899814,京都府,亀岡市
35.56773333,135.0959333,京都府,京丹後市
34.7971437,135.7849826,京都府,京田辺市
35.0169761,135.751435,京都府,京都市上京区
34.984,135.7348,京都府,京都市下京区
34.99642573,135.7361156,京都府,京都市中京区
34.903396,135.72057,京都府,京都市伏見区
35.024026,135.731842,京都府,京都市北区
34.94485995,135.7171163,京都府,京都市南区
34.9864196,135.7193886,京都府,京都市右京区
34.956816,135.811778,京都府,京都市山科区
35.0126853,135.7861113,京都府,京都市左京区
34.98126667,135.7703333,京都府,京都市東山区
34.9474739,135.6919901,京都府,京都市西京区
34.83405,135.71924,京都府,八幡市
35.06926667,135.5335333,京都府,南丹市
34.93033333,135.7138,京都府,向日市
34.8244,135.8056667,京都府,城陽市
34.8691738,135.7615953,京都府,宇治市
35.525608,135.19048,京都府,宮津市
34.714253,135.834757,京都府,木津川市
34.7499409,135.9873322,京都府,相楽郡南山城村
34.757525,135.936307,京都府,相楽郡笠置町
34.7256776,135.7712662,京都府,相楽郡精華町
35.209236,135.245196,京都府,福知山市
34.7951464,135.8089007,京都府,綴喜郡井手町
34.8460871,135.8437161,京都府,綴喜郡宇治田原町
35.288362,135.303983,京都府,綾部市
35.42201042,135.3293099,京都府,舞鶴市
35.15533624,135.4277483,京都府,船井郡京丹波町
34.9114,135.6973333,京都府,長岡京市
33.2909662,130.4209678,佐賀県,三養基郡みやき町
33.3142,130.4254,佐賀県,三養基郡上峰町
33.4035826,130.5281011,佐賀県,三養基郡基山町
33.243465,129.850435,佐賀県,伊万里市
33.1936042,130.3154628,佐賀県,佐賀市
33.3140367,130.0708471,佐賀県,唐津市
33.25964756,130.0840954,佐賀県,多久市
33.094046,129.979198,佐賀県,嬉野市
33.23173333,130.1809333,佐賀県,小城市
33.46393333,129.8593333,佐賀県,東松浦郡玄海町
33.2132534,130.1052062,佐賀県,杵島郡大町町
33.197414,130.142659,佐賀県,杵島郡江北町
33.15272609,130.1244031,佐賀県,杵島郡白石町
33.125037,129.981666,佐賀県,武雄市
33.26261,130.356746,佐賀県,神埼市
33.31958146,130.3859678,佐賀県,神埼郡吉野ヶ里町
32.974923,130.2058179,佐賀県,藤津郡太良町
33.1634115,129.9069458,佐賀県,西松浦郡有田町
33.34773333,130.4990667,佐賀県,鳥栖市
33.09373333,130.0938667,佐賀県,鹿島市
34.782091,134.568276,兵庫県,たつの市
34.767977,135.02844,兵庫県,三木市
34.87631697,135.2245936,兵庫県,三田市
35.075444,135.018521,兵庫県,丹波市
34.75785368,135.416271,兵庫県,伊丹市
34.95518201,134.3424411,兵庫県,佐用郡佐用町
34.72286667,134.8894667,兵庫県,加古川市
34.71097946,134.8641132,兵庫県,加古郡播磨町
34.725649,134.906149,兵庫県,加古郡稲美町
34.88715826,134.9516742,兵庫県,加東市
34.8867411,134.8771311,兵庫県,加西市
34.217632,134.7320728,兵庫県,南あわじ市
35.03436147,134.9356852,兵庫県,多可郡多可町
34.671741,134.53323,兵庫県,姫路市
34.983691,134.53802,兵庫県,宍粟市
34.7750846,135.370798,兵庫県,宝塚市
34.81713333,134.9554667,兵庫県,小野市
34.69799512,135.3914184,兵庫県,尼崎市
34.801972,135.413573,兵庫県,川西市
34.8819809,135.3766842,兵庫県,川辺郡猪名川町
34.818802,134.5813749,兵庫県,揖保郡太子町
34.6426266,135.0101602,兵庫県,明石市
35.165974,134.79075,兵庫県,朝来市
34.2883302,134.9473939,兵庫県,洲本市
34.4251335,134.9021059,兵庫県,淡路市
34.7978,134.4706667,兵庫県,相生市
34.96938377,134.7638542,兵庫県,神崎郡市川町
35.048525,134.767758,兵庫県,神崎郡神河町
34.94213333,134.7602,兵庫県,神崎郡福崎町
34.63686667,135.2287333,兵庫県,神戸市中央区
34.65406667,135.1614,兵庫県,神戸市兵庫区
34.68815849,135.1250562,兵庫県,神戸市北区
34.6250896,135.0495853,兵庫県,神戸市垂水区
34.683959,135.269302,兵庫県,神戸市東灘区
34.701469,135.218763,兵庫県,神戸市灘区
